Id,Name,IsDeleted,CreatedDate,LastModifiedDate,SystemModstamp,LastViewedDate,LastReferencedDate,HealthCloudGA__Active__c,HealthCloudGA__ConditionCode__c,HealthCloudGA__HCCCode__c,HealthCloudGA__ValidFrom__c,HealthCloudGA__ValidThrough__c,HealthCloudGA__YearConditionCodeHCCCode__c
a0x3h000000vRgHAAU,Map-193,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8201,HCC10,2014,,C8201HCC102014
a0x3h000000vRgIAAU,Map-194,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8202,HCC10,2014,,C8202HCC102014
a0x3h000000vRgJAAU,Map-195,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8203,HCC10,2014,,C8203HCC102014
a0x3h000000vRgKAAU,Map-196,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8204,HCC10,2014,,C8204HCC102014
a0x3h000000vRgLAAU,Map-197,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8205,HCC10,2014,,C8205HCC102014
a0x3h000000vRgMAAU,Map-198,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8206,HCC10,2014,,C8206HCC102014
a0x3h000000vRgNAAU,Map-199,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8207,HCC10,2014,,C8207HCC102014
a0x3h000000vRgOAAU,Map-200,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8208,HCC10,2014,,C8208HCC102014
a0x3h000000vRgPAAU,Map-201,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8209,HCC10,2014,,C8209HCC102014
a0x3h000000vRgQAAU,Map-202,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8210,HCC10,2014,,C8210HCC102014
